,Orig,con1_arr,con1,con2_arr,con2,Dest,mkt_airline1,mkt_flight1,op_airline1,op_flight1,depDay1,d_time_1,a_time_1,depTime_U1,arrTime_U1,acrt1,distSeg1,mkt_airline2,mkt_flight2,op_airline2,op_flight2,depDay2,d_time_2,a_time_2,depTime_U2,arrTime_U2,acrt2,distSeg2,mkt_airline3,mkt_flight3,op_airline3,op_flight3,depDay3,d_time_3,a_time_3,depTime_U3,arrTime_U3,acrt3,distSeg3,dist,segn,week,depDay,deptime,deptime_U,arrtime,arrtime_U,elaptime,detour,arrDay,stops,dmcc,nLegs,paxe,cluster,OnD,TOT_pax,market_share
0,ABJ,CDG,CDG,,,BEG,AF,703.0,AF,703.0,1.0,22:30:00,06:55:00,2019-09-16 22:30:00+00:00,2019-09-17 04:55:00+00:00,77W,4887.34,JU,311.0,JU,311.0,2.0,10:05:00,12:25:00,2019-09-17 08:05:00+00:00,2019-09-17 10:25:00+00:00,320,1427.23,,,,,,,,,,,,6314.56,2.0,201938.0,1.0,22:30:00,2019-09-16 22:30:00+00:00,12:25:00,2019-09-17 10:25:00+00:00,715.0,1.26864,2.0,1.0,,2.0,0.0,150000.0,ABJ-BEG,0.0,0.0
1,ABJ,CDG,CDG,,,BEG,AF,703.0,AF,703.0,2.0,22:30:00,06:55:00,2019-09-17 22:30:00+00:00,2019-09-18 04:55:00+00:00,77W,4887.34,JU,311.0,JU,311.0,3.0,10:05:00,12:25:00,2019-09-18 08:05:00+00:00,2019-09-18 10:25:00+00:00,320,1427.23,,,,,,,,,,,,6314.56,2.0,201938.0,2.0,22:30:00,2019-09-17 22:30:00+00:00,12:25:00,2019-09-18 10:25:00+00:00,715.0,1.26864,3.0,1.0,,2.0,0.0,150000.0,ABJ-BEG,0.0,0.0
2,ABJ,CDG,CDG,,,BEG,AF,703.0,AF,703.0,3.0,22:30:00,06:55:00,2019-09-18 22:30:00+00:00,2019-09-19 04:55:00+00:00,77W,4887.34,JU,311.0,JU,311.0,4.0,10:05:00,12:25:00,2019-09-19 08:05:00+00:00,2019-09-19 10:25:00+00:00,320,1427.23,,,,,,,,,,,,6314.56,2.0,201938.0,3.0,22:30:00,2019-09-18 22:30:00+00:00,12:25:00,2019-09-19 10:25:00+00:00,715.0,1.26864,4.0,1.0,,2.0,0.0,150000.0,ABJ-BEG,0.0,0.0
3,ABJ,CDG,CDG,,,BEG,AF,703.0,AF,703.0,4.0,22:30:00,06:55:00,2019-09-19 22:30:00+00:00,2019-09-20 04:55:00+00:00,77W,4887.34,JU,311.0,JU,311.0,5.0,10:05:00,12:25:00,2019-09-20 08:05:00+00:00,2019-09-20 10:25:00+00:00,320,1427.23,,,,,,,,,,,,6314.56,2.0,201938.0,4.0,22:30:00,2019-09-19 22:30:00+00:00,12:25:00,2019-09-20 10:25:00+00:00,715.0,1.26864,5.0,1.0,,2.0,0.0,150000.0,ABJ-BEG,0.0,0.0
4,ABJ,CDG,CDG,,,BEG,AF,703.0,AF,703.0,5.0,22:30:00,06:55:00,2019-09-20 22:30:00+00:00,2019-09-21 04:55:00+00:00,77W,4887.34,JU,311.0,JU,311.0,6.0,10:05:00,12:25:00,2019-09-21 08:05:00+00:00,2019-09-21 10:25:00+00:00,320,1427.23,,,,,,,,,,,,6314.56,2.0,201938.0,5.0,22:30:00,2019-09-20 22:30:00+00:00,12:25:00,2019-09-21 10:25:00+00:00,715.0,1.26864,6.0,1.0,,2.0,0.0,150000.0,ABJ-BEG,0.0,0.0
5,ABJ,CDG,CDG,,,BEG,AF,703.0,AF,703.0,6.0,22:30:00,06:55:00,2019-09-21 22:30:00+00:00,2019-09-22 04:55:00+00:00,77W,4887.34,JU,311.0,JU,311.0,7.0,10:05:00,12:25:00,2019-09-22 08:05:00+00:00,2019-09-22 10:25:00+00:00,320,1427.23,,,,,,,,,,,,6314.56,2.0,201938.0,6.0,22:30:00,2019-09-21 22:30:00+00:00,12:25:00,2019-09-22 10:25:00+00:00,715.0,1.26864,7.0,1.0,,2.0,0.0,150000.0,ABJ-BEG,0.0,0.0
6,ABJ,CDG,CDG,,,BEG,AF,703.0,AF,703.0,7.0,22:30:00,06:55:00,2019-09-22 22:30:00+00:00,2019-09-23 04:55:00+00:00,77W,4887.34,JU,311.0,JU,311.0,1.0,10:05:00,12:25:00,2019-09-16 08:05:00+00:00,2019-09-16 10:25:00+00:00,320,1427.23,,,,,,,,,,,,6314.56,2.0,201938.0,7.0,22:30:00,2019-09-22 22:30:00+00:00,12:25:00,2019-09-23 10:25:00+00:00,715.0,1.26864,1.0,1.0,,2.0,0.0,150000.0,ABJ-BEG,0.0,0.0
7,ABJ,TUN,TUN,,,BEG,TU,399.0,TU,399.0,1.0,22:40:00,06:15:00,2019-09-16 22:40:00+00:00,2019-09-17 05:15:00+00:00,320,3839.5,TU,226.0,TU,226.0,2.0,07:40:00,10:40:00,2019-09-17 06:40:00+00:00,2019-09-17 08:40:00+00:00,32A,1225.34,,,,,,,,,,,,5064.84,2.0,201938.0,1.0,22:40:00,2019-09-16 22:40:00+00:00,10:40:00,2019-09-17 08:40:00+00:00,600.0,1.01756,2.0,1.0,,3.0,0.0,150000.0,ABJ-BEG,0.0,0.0
8,ABJ,BRU,BRU,,,TLL,SN,256.0,SN,256.0,1.0,18:50:00,05:05:00,2019-09-16 18:50:00+00:00,2019-09-17 03:05:00+00:00,333,5138.59,LO,2976.0,LO,2976.0,2.0,09:05:00,12:30:00,2019-09-17 07:05:00+00:00,2019-09-17 09:30:00+00:00,CR9,1594.34,,,,,,,,,,,,6732.93,2.0,201938.0,1.0,18:50:00,2019-09-16 18:50:00+00:00,12:30:00,2019-09-17 09:30:00+00:00,880.0,1.03779,2.0,1.0,,3.0,0.0,150000.0,ABJ-TLL,1.72,0.0
9,ABJ,BRU,BRU,,,TLL,SN,256.0,SN,256.0,4.0,18:50:00,05:05:00,2019-09-19 18:50:00+00:00,2019-09-20 03:05:00+00:00,333,5138.59,BT,706.0,BT,706.0,5.0,08:55:00,12:25:00,2019-09-20 06:55:00+00:00,2019-09-20 09:25:00+00:00,CS3,1594.34,,,,,,,,,,,,6732.93,2.0,201938.0,4.0,18:50:00,2019-09-19 18:50:00+00:00,12:25:00,2019-09-20 09:25:00+00:00,875.0,1.03779,5.0,1.0,,3.0,0.0,150000.0,ABJ-TLL,1.72,0.0
