,country,code
0,MH,0
1,US,1
2,SO,2
3,PG,3
4,AD,4
5,SD,5
6,AE,6
7,SS,7
8,ES,8
9,CN,9
10,AF,10
11,LK,11
12,SB,12
13,AU,13
14,MG,14
15,TD,15
16,MX,16
17,MZ,17
18,NR,18
19,AO,19
20,AQ,20
21,AR,21
22,BR,22
23,AS,23
24,GA,24
25,AZ,25
26,DE,26
27,BG,27
28,GL,28
29,IS,29
30,OM,30
31,XK,31
32,KE,32
33,PH,33
34,BO,34
35,BS,35
36,CV,36
37,BW,37
38,FJ,38
39,LR,39
40,BZ,40
41,CA,41
42,CG,42
43,MR,43
44,PT,44
45,CO,45
46,CU,46
47,CY,47
48,PA,48
49,DZ,49
50,BJ,50
51,ID,51
52,BF,52
53,GH,53
54,RU,54
55,CI,55
56,NG,56
57,NE,57
58,TN,58
59,TG,59
60,BE,60
61,EC,61
62,EE,62
63,FI,63
64,EG,64
65,GB,65
66,GG,66
67,JE,67
68,IM,68
69,FK,69
70,NL,70
71,IE,71
72,DK,72
73,FO,73
74,LU,74
75,GT,75
76,NO,76
77,PL,77
78,MN,78
79,SE,79
80,ET,80
81,LV,81
82,LT,82
83,ZA,83
84,SZ,84
85,KR,85
86,CF,86
87,GQ,87
88,SH,88
89,MU,89
90,IO,90
91,CM,91
92,ZM,92
93,FM,93
94,KM,94
95,YT,95
96,RE,96
97,ST,97
98,FR,98
99,SC,99
100,ZW,100
101,MW,101
102,LS,102
103,,103
104,CD,104
105,ML,105
106,GM,106
107,SL,107
108,GW,108
109,MA,109
110,EH,110
111,SN,111
112,TZ,112
113,GN,113
114,GY,114
115,SR,115
116,BI,116
117,DJ,117
118,ER,118
119,LY,119
120,HN,120
121,VN,121
122,KZ,122
123,RW,123
124,UG,124
125,TL,125
126,PK,126
127,IN,127
128,IR,128
129,JP,129
130,IT,130
131,BD,131
132,KH,132
133,KP,133
134,MY,134
135,AL,135
136,HR,136
137,PM,137
138,GR,138
139,HU,139
140,SI,140
141,CZ,141
142,IL,142
143,MT,143
144,MC,144
145,AT,145
146,BA,146
147,RO,147
148,CH,148
149,TR,149
150,MD,150
151,PS,151
152,MK,152
153,GI,153
154,RS,154
155,ME,155
156,SK,156
157,TC,157
158,DO,158
159,JM,159
160,MM,160
161,NI,161
162,CR,162
163,MF,163
164,SV,164
165,HT,165
166,KY,166
167,UA,167
168,CK,168
169,TO,169
170,KI,170
171,TV,171
172,NU,172
173,WF,173
174,NP,174
175,WS,175
176,PF,176
177,VU,177
178,NC,178
179,NZ,179
180,BH,180
181,SA,181
182,JO,182
183,KW,183
184,LB,184
185,IQ,185
186,SY,186
187,QA,187
188,YE,188
189,LA,189
190,PE,190
191,MP,191
192,GU,192
193,UM,193
194,TH,194
195,PR,195
196,PW,196
197,PY,197
198,TW,198
199,CL,199
200,VI,200
201,GF,201
202,UY,202
203,VE,203
204,AG,204
205,BB,205
206,DM,206
207,GP,207
208,MQ,208
209,BL,209
210,GD,210
211,KN,211
212,LC,212
213,AW,213
214,BQ,214
215,CW,215
216,SX,216
217,VG,217
218,AI,218
219,MS,219
220,TT,220
221,VC,221
222,BM,222
223,KG,223
224,AM,224
225,GE,225
226,BY,226
227,TM,227
228,TJ,228
229,UZ,229
230,HK,230
231,MO,231
232,BT,232
233,MV,233
234,BN,234
235,SG,235
236,CC,236
237,CX,237
238,NF,238
239,nan,239
